439;L;7097;E;
440;L;7215;E;
441;L;7214;E;
442;L;7097;E;
443;L;7351;E;
444;L;7505;E;
445;L;7493;E;
446;L;7493;E;
447;L;7097;E;
448;L;7497;E;
485;L;7207;E;
539;L;7207;E;
498;L;7023;E;
449;L;7063;E;
450;L;7044;E;
451;L;7047;E;
452;L;7172;E;
526;L;7023;E;
453;L;7119;E;
454;L;7097;E;
455;L;7097;E;
514;L;7276;E;
456;L;7410;E;
457;L;7408;E;
458;L;7487;E;
459;L;7214;E;
460;L;7134;E;
461;L;7206;E;
480;L;7207;E;
519;L;7207;E;
478;L;7207;E;
492;L;7207;E;
462;L;7430;E;
463;L;7434;E;
464;L;7434;E;
465;L;7333;E;
466;L;7339;E;
467;L;7333;E;
468;L;7037;E;
469;L;7333;E;
470;L;7226;E;
528;L;7207;E;
471;L;7097;E;
472;L;7044;E;
533;L;7023;E;
2508;C;6003;D;
2519;C;6004;D;
2540;C;6005;D;
2539;C;6005;D;
2538;C;6005;D;
2537;C;6005;D;
2536;C;6005;D;
2535;C;6005;D;
2534;C;6005;D;
2533;C;6005;D;
2532;C;6005;D;
2531;C;6005;D;
2530;C;6005;D;
2529;C;6005;D;
2528;C;6005;D;
2527;C;6005;D;
2526;C;6005;D;
2576;C;6006;D;
2575;C;6006;D;
2562;C;6006;D;
2545;C;6006;D;
2565;C;6007;D;
2543;C;6007;D;
2541;C;6007;D;
2765;C;6009;D;
2780;C;6010;D;
2768;C;6010;D;
2779;C;6011;D;
2772;C;6011;D;
2790;C;6012;D;
2767;C;6012;D;
2807;C;6014;D;
2799;C;6014;D;
2798;C;6014;D;
2797;C;6014;D;
2589;C;6015;D;
2586;C;6015;D;
2579;C;6015;D;
2611;C;6016;D;
2606;C;6016;D;
2602;C;6016;D;
2601;C;6016;D;
2614;C;6017;D;
2612;C;6017;D;
2634;C;6018;D;
2843;C;6019;D;
2839;C;6019;D;
2651;C;6020;D;
2649;C;6020;D;
2648;C;6020;D;
2642;C;6020;D;
2665;C;6021;D;
2654;C;6021;D;
2647;C;6021;D;
2703;C;6022;D;
2698;C;6022;D;
2682;C;6022;D;
